CITY,PERIOD,MAX CLIMATE,MIN CLIMATE,SOIL,CULTURE
Tupã,Primavera,"31,50","16,00",argilo-arenoso,Amendoim
Marília,Primavera,"30,00","19,00",vermelho,Amendoim
Presidente Prudente,Primavera,"30,90","22,50",vermelho,Amendoim
Jaboticabal,Primavera,"29,00","18,00",vermelho-arenoso,Amendoim
Assis,Primavera,"28,70","18,50",vermelho,Amendoim
Itapeva,Primavera,"33,00","15,00",vermelho,Soja
Assis,Primavera,"40,40","13,80",vermelho,Soja
Ourinhos,Primavera,"30,00","22,00",vermelho,Soja
Avaré,Primavera,"28,50","14,40",vermelho-amarelo,Algodão
Itapeva,Primavera,"33,00","15,00",vermelho,Algodão
Presidente Prudente ,Primavera,"30,90","22,50",vermelho,Algodão
Limeira,Primavera,"29,10","16,30",vermelho-amarelo,Algodão
Ourinhos,Primavera,"30,00","22,00",vermelho,Café
Marília,Primavera,"30,00","19,00",vermelho,Café
Tupã,Verão,"32,60","21,50",argilo-arenoso,Amendoim
Marília,Verão,"30,80","19,40",vermelho,Amendoim