cultura,temperatura_maxima,temperatura_minima,tipo_de_solo_predominante
Amendoim,30,20,Latossolo
Soja,30,18,Nitossolo
Café,23,18,Nitossolo
Algodão,30,18,Argissolo
Arroz,35,20,Argissolo
Batata,22,10,Latossolo
Feijão,29,12,Nitossolo
Milho,30,24,Latossolo
Banana,29,20,Argissolo
Cana-de-Açúcar,34,30,Latossolo
Cebola,25,20,Argissolo
Tomate,25,15,Latossolo
Mandioca,27,20,Latossolo
Laranja,32,23,Latossolo
Cacau,28,22,Latossolo
Tabaco,30,20,Latossolo
Limão,32,23,Latossolo
Uva,30,15,Argissolo
Cenoura,30,20,Latossolo
Batata-doce,30,20,Latossolo